Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Relative_Humidity,zenith_deg,azimuth_deg
2024,7,10,12,30,258,2,260,55.59,7.082828535558804,180.40769207344542
2024,7,10,13,0,167,0,168,53.01,9.82035022386944,225.5552717602107
2024,7,10,13,30,237,1,239,52.72,15.28766098164229,245.84411948600393
2024,7,10,14,0,250,1,251,50.71,21.483375185838412,255.95110709729045
2024,7,10,14,30,194,1,195,51,27.91296235326095,262.29411865282503
2024,7,10,15,0,121,0,122,50.32,34.429300711506066,266.9636170256125
2024,7,10,15,30,130,0,130,51.160000000000004,40.972316966954395,270.7865477611035
2024,7,10,16,0,100,0,100,51.21,47.509859248151635,274.15374611191004
2024,7,10,16,30,116,1,116,52.65,54.02002297141307,277.2785540785632
2024,7,10,17,0,56,0,57,53.63,60.48439606656905,280.29310526992214
2024,7,10,17,30,69,0,69,55.78,66.88461560878987,283.2896848360254
2024,7,10,18,0,26,0,26,58.89,73.19943757589283,286.34076129658763
2024,7,10,18,30,39,0,39,61.28,79.3989330869057,289.5098173184541
2024,7,10,19,0,25,9,26,64.06,85.41503611687799,292.85786801730956
2024,7,10,19,30,0,0,0,65.16,91.5424301967346,296.4477753968697
2024,7,10,20,0,0,0,0,65.62,97.30388888965912,300.3472273754011
2024,7,10,20,30,0,0,0,67.15,102.82904766217811,304.6305340238935
2024,7,10,21,0,0,0,0,68.84,108.06083405822869,309.37879226300254
2024,7,10,21,30,0,0,0,70.04,112.92826300491282,314.6772930051477
2024,7,10,22,0,0,0,0,72.77,117.34434937120702,320.60827479290936
2024,7,10,22,30,0,0,0,73.62,121.20557189602758,327.2366243445342
2024,7,10,23,0,0,0,0,76.51,124.39477759749772,334.58694688692503
2024,7,10,23,30,0,0,0,77.41,126.78985356533624,342.61436392593157
2024,7,11,0,0,0,0,0,80.44,128.2795338278556,351.1793580935056
2024,7,11,0,30,0,0,0,81.38,128.78425640326392,0.044785532488049284
2024,7,11,1,0,0,0,0,84.36,128.27500935152025,8.909691746296232
2024,7,11,1,30,0,0,0,84.86,126.78103475832127,17.473274241754893
2024,7,11,2,0,0,0,0,87.60000000000001,124.38206374921756,25.49877169949667
2024,7,11,2,30,0,0,0,87.60000000000001,121.18944243183753,32.8471176772224
2024,7,11,3,0,0,0,0,90.26,117.32528578484526,39.4738179901841
2024,7,11,3,30,0,0,0,90.79,112.90669968428713,45.40374650386093
2024,7,11,4,0,0,0,0,92.77,108.03713777122135,50.701956607829175
2024,7,11,4,30,0,0,0,93.32000000000001,102.80351760608794,55.45078990118276
2024,7,11,5,0,0,0,0,95.75,97.27676614320293,59.73561753541054
2024,7,11,5,30,0,0,0,94.72,91.51391132314899,63.63762550293791
